epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7958,1.30541,1.60196,0.83104,0.71458,0.37988,0.43752,0.24752,1.42018,0.88489,0.81965,0.0703896,0.00329004,0.00329004
2,61.7275,1.69324,1.14884,0.84988,0.51946,0.26856,0.21653,0.06817,2.34357,1.2333,0.92395,0.0403631,0.00659688,0.00659688
3,84.3291,1.98381,2.02417,0.89904,0.80319,0.31305,0.38699,0.16156,2.04888,2.4659,0.92915,0.01031,0.00987706,0.00987706
4,106.963,2.31202,1.49459,0.96102,0.38261,0.35156,0.33235,0.10039,2.41306,1.82843,1.00319,0.00988,0.00988,0.00988
5,129.556,2.07955,1.22334,0.93018,0.75545,0.56793,0.68434,0.30619,1.46828,0.84637,0.84407,0.00984,0.00984,0.00984
6,152.388,1.80014,0.95944,0.88722,0.86966,0.56435,0.62266,0.31178,1.46978,0.70685,0.85782,0.0098,0.0098,0.0098
7,175.225,1.69702,0.76692,0.88171,0.5702,0.55251,0.60158,0.31759,1.37037,0.68582,0.86765,0.00976,0.00976,0.00976
8,198.14,1.65793,0.75557,0.86316,0.70485,0.59262,0.64625,0.27657,1.65691,0.73818,0.89579,0.00972,0.00972,0.00972
9,220.748,1.61923,0.72866,0.86803,0.82877,0.6262,0.67841,0.34891,1.47042,0.6796,0.86478,0.00968,0.00968,0.00968
10,243.698,1.52174,0.68429,0.85452,0.8176,0.62782,0.67803,0.35475,1.33273,0.69517,0.84384,0.00964,0.00964,0.00964
11,266.753,1.45306,0.66473,0.84683,0.85471,0.63935,0.72679,0.38614,1.36574,0.62611,0.85528,0.0096,0.0096,0.0096
12,289.732,1.40923,0.62878,0.83528,0.78248,0.66907,0.71069,0.39495,1.20687,0.60462,0.82169,0.00956,0.00956,0.00956
13,312.76,1.33496,0.63109,0.83611,0.8783,0.62575,0.72099,0.41671,1.24318,0.62365,0.83047,0.00952,0.00952,0.00952
14,335.859,1.30233,0.60179,0.83038,0.91782,0.68165,0.75774,0.4261,1.23532,0.57654,0.83289,0.00948,0.00948,0.00948
15,358.866,1.27442,0.59789,0.82714,0.88657,0.64794,0.72438,0.40698,1.27171,0.60787,0.83218,0.00944,0.00944,0.00944
16,381.639,1.27686,0.56505,0.81813,0.75563,0.68887,0.74703,0.43015,1.11826,0.55556,0.82043,0.0094,0.0094,0.0094
17,404.623,1.21518,0.54613,0.81863,0.73535,0.65324,0.70369,0.44848,1.05281,0.53258,0.80818,0.00936,0.00936,0.00936
18,427.961,1.20026,0.53979,0.81494,0.9184,0.69716,0.76744,0.48498,1.06128,0.52436,0.80741,0.00932,0.00932,0.00932
19,451.544,1.16333,0.5288,0.81328,0.80692,0.72967,0.78208,0.49087,1.02465,0.5135,0.80897,0.00928,0.00928,0.00928
20,475.337,1.14583,0.52227,0.81084,0.91844,0.72635,0.80142,0.49193,1.02638,0.5215,0.82251,0.00924,0.00924,0.00924
21,499.339,1.15196,0.51863,0.81265,0.83241,0.74456,0.79835,0.50738,0.98782,0.51139,0.81746,0.0092,0.0092,0.0092
22,523.499,1.15067,0.51413,0.81196,0.75658,0.73301,0.7826,0.49116,1.04396,0.53624,0.81761,0.00916,0.00916,0.00916
23,547.615,1.12883,0.50649,0.81235,0.86936,0.73616,0.78879,0.51831,0.98281,0.5053,0.80688,0.00912,0.00912,0.00912
24,572.024,1.1239,0.50469,0.80973,0.82453,0.73738,0.78116,0.4977,0.9852,0.50692,0.81085,0.00908,0.00908,0.00908
25,596.27,1.12149,0.50814,0.81349,0.90074,0.74008,0.80643,0.51524,0.94811,0.49532,0.80853,0.00904,0.00904,0.00904
26,620.5,1.10579,0.49685,0.80903,0.87465,0.76474,0.81915,0.53299,0.94256,0.49137,0.81029,0.009,0.009,0.009
